product,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,fy
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2008
(note 1),(note 1),(note 2),(note 2),(note 2),None,(note 2),(note 2),(note 2),2008
MARKET DOMINANT MAIL,A,B,C,F,D,E,(D-E),(D/E),2008
First-Class Mail:,None,None,None,None,None,None,None,None,2008
Single-Piece Letters,14353.524033,8443.075618748211,8434.32261874821,8.753,0.4283392480234627,0.2519590766159719,0.1763801714074908,1.7000349968591284,2008
Single-Piece Cards,500.489597,446.5087719559969,446.02677195599694,0.482,0.27114174086745557,0.2418974669332412,0.02924427393421436,1.12089532935161,2008
Total Single-Piece Letters and Cards,14854.01363,8889.584390704207,8880.349390704207,9.235,0.42013220917755617,0.25143377552810814,0.16869843364944803,1.6709457919689432,2008
Presort Letters,16327.804358,5441.6680782620415,5429.030078262042,12.638,0.3374916702247292,0.11247793079057965,0.22501373943414954,3.000514570748088,2008
Presort Cards,732.236796,282.27046183504393,281.3414618350439,0.929,0.20591601550888014,0.07937870524185411,0.12653731026702603,2.594096425250163,2008
Total Presort Letters and Cards,17060.041154,5723.938540097085,5710.371540097085,13.567,0.32848281632488524,0.11021165981658819,0.21827115650829704,2.980472455197019,2008
Flats,4056.250422,2570.96204167605,2570.08004167605,0.882,1.2001663143186343,0.7606981119992241,0.4394682023194102,1.5777169620737252,2008
Parcels,1120.7664819999998,1079.7486138572617,1079.5916138572616,0.157,1.850910320045903,1.7831706109530714,0.06773970909283156,1.0379883498958218,2008
Outbound Single-Piece First-Class Mail Intl,746.930918,525.097236568945,525.097236568945,0,1.7782682172942672,1.2501339873302766,0.5281342299639906,1.422462100316021,2008
Inbound Single-Piece First-Class Mail Intl,205.33585558738025,257.8955846101484,257.8955846101484,0,0.49237762336419383,0.6184113079677275,-0.12603368460353365,0.7961976390475207,2008
Fees (note 2),185.532785,None,None,None,None,None,None,None,2008
Total First-Class,38228.871246587376,19047.2264075137,19023.385407513695,23.841,0.41501800913867964,0.20677937185931644,0.2082386372793632,2.007057113129445,2008
Standard Mail:,None,None,None,None,None,None,None,None,2008
High Density and Saturation Letters,734.197098,320.494603085937,319.868603085937,0.626,0.1311320794635444,0.05724229076086898,0.07388978870267543,2.290825152531924,2008
High Density and Saturation Flats and Parcels,2158.2553089999997,844.35327722909,842.83327722909,1.52,0.1588814751902287,0.06215765748771383,0.09672381770251486,2.5561046154551983,2008
Carrier Route,2731.128255,1814.2587363277187,1812.9077363277188,1.351,0.2262707884909831,0.1503092189259078,0.0759615695650753,1.5053686667250874,2008
Letters,10555.141764,5478.479695795915,5472.091695795915,6.388,0.1848975907626251,0.09596817545828501,0.08892941530434009,1.9266552675370545,2008
Flats,3663.747837,3890.987812836086,3889.8678128360857,1.12,0.3659774434535522,0.38867679644042036,-0.02269935298686815,0.9415983840693518,2008
Not Flat-Machinables and Parcels,647.38301,813.3830037547259,813.3010037547259,0.082,0.8823191789031812,1.108560794647164,-0.22624161574398283,0.795914110586969,2008
Fees (note 2),96.438981,0,0,None,None,None,None,None,2008
Total Standard Mail,20586.292254,13161.957129029472,13150.870129029472,11.087,0.207765734747671,0.13283614455142156,0.07492959019624942,1.5640753158658847,2008
