product_id,product,mail_class,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,weight,weight_pc,contribution
3,Single Piece Letters,First Class,2008,33509710117.0,14353524033.0,8443075619.0,8434322619.0,8753000.0,0.42833925,0.25195908,0.17638017,1.700035,1000328975.0,0.02985191,5910448414.251789
4,Single Piece Cards,First Class,2008,1845859643.0,500489597.0,446508772.0,446026772.0,482000.0,0.27114174,0.24189747,0.02924427,1.12089533,11830080.0,0.00640898,53980825.04400301
5,Total Single Piece Letters and Cards,First Class,2008,35355569760.0,14854013630.0,8889584391.0,8880349391.0,9235000.0,0.42013221,0.25143378,0.16869843,1.67094579,1012159055.0,0.02862799,5964429239.295794
8,Presort Letters,First Class,2008,48379873634.0,16327804358.0,5441668078.0,5429030078.0,12638000.0,0.33749167,0.11247793,0.22501374,3.00051457,2174874013.0,0.04495411,10886136279.737959
9,Presort Cards,First Class,2008,3555997304.0,732236796.0,282270462.0,281341462.0,929000.0,0.20591602,0.07937871,0.12653731,2.59409643,28969254.0,0.00814659,449966334.164956
10,Total Presort Letters and Cards,First Class,2008,51935870938.0,17060041154.0,5723938540.0,5710371540.0,13567000.0,0.32848282,0.11021166,0.21827116,2.98047246,2203843267.0,0.04243393,11336102613.902912
14,Flats,First Class,2008,3379740269.0,4056250422.0,2570962042.0,2570080042.0,882000.0,1.20016631,0.76069811,0.4394682,1.57771696,693504018.0,0.20519447,1485288380.3239498
19,Parcels,First Class,2008,605521764.0,1120766482.0,1079748614.0,1079591614.0,157000.0,1.85091032,1.78317061,0.06773971,1.03798835,195046732.0,0.3221135,41017868.1427381
101,Outbound Single Piece Mail International,First Class,2008,420032766.0,746930918.0,525097237.0,525097237.0,,1.77826822,1.25013399,0.52813423,1.4224621,60543293.0,0.14413945,221833681.431055
102,Inbound Single Piece Mail International,First Class,2008,417029219.0,205335856.0,257895585.0,257895585.0,,0.49237762,0.61841131,-0.12603368,0.79619764,,,-52559729.02276802
262,Total First Class (incl International),Summary Other,2008,92113764716.0,38228871247.0,19047226408.0,19023385408.0,23841000.0,0.41501801,0.20677937,0.20823864,2.00705711,4165096365.0,0.04521687,19181644839.07368
21,High Density and Saturation Letters,Marketing Mail,2008,5598912951.0,734197098.0,320494603.0,319868603.0,626000.0,0.13113208,0.05724229,0.07388979,2.29082515,250004215.0,0.04465228,413702494.914063
22,High Density and Saturation Flats and Parcels,Marketing Mail,2008,13584058849.0,2158255309.0,844353277.0,842833277.0,1520000.0,0.15888148,0.06215766,0.09672382,2.55610462,2533241995.0,0.18648638,1313902031.77091
23,Carrier Route,Marketing Mail,2008,12070176063.0,2731128255.0,1814258736.0,1812907736.0,1351000.0,0.22627079,0.15030922,0.07596157,1.50536867,2500770282.0,0.2071859,916869518.6722809
25,Letters,Marketing Mail,2008,57086421302.0,10555141764.0,5478479696.0,5472091696.0,6388000.0,0.18489759,0.09596818,0.08892942,1.92665527,2859998608.0,0.05009946,5076662068.204084
26,Flats,Marketing Mail,2008,10010856960.0,3663747837.0,3890987813.0,3889867813.0,1120000.0,0.36597744,0.3886768,-0.02269935,0.94159838,2541283885.0,0.25385278,-227239975.8360858
27,Parcels,Marketing Mail,2008,733728820.0,647383010.0,813383004.0,813301004.0,82000.0,0.88231918,1.10856079,-0.22624162,0.79591411,331886296.0,0.45232828,-165999993.75472605
263,Total Marketing Mail (incl International),Summary Other,2008,99084154945.0,20586292254.0,13161957129.0,13150870129.0,11087000.0,0.20776573,0.13283614,0.07492959,1.56407532,11017185281.0,0.11119018,7424335124.970528
31,In County,Periodicals,2008,830887260.0,89118523.0,94337654.0,94335654.0,2000.0,0.10725706,0.11353845,-0.00628139,0.94467606,279193069.0,0.33601799,-5219130.672373
32,Outside County,Periodicals,2008,7774339432.0,2187870965.0,2637811390.0,2637792390.0,19000.0,0.2814221,0.33929717,-0.05787507,0.82942661,3397716043.0,0.43704241,-449940424.6500621
264,Total Periodicals (incl International),Summary Other,2008,8605226692.0,2294856567.0,2732149043.0,2732128043.0,21000.0,0.26668171,0.31749879,-0.05081708,0.8399456,3676909112.0,0.42728788,-437292476.3224349
