product_id,product,mail_class,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,weight,weight_pc
3,Single Piece Letters,First Class,2008,33509710117.0,14353524033.0,8443075618.748211,8434322618.748211,8753000.0,0.428339,0.251959,0.17638,1.700035,1000328975.0,0.477631
4,Single Piece Cards,First Class,2008,1845859643.0,500489597.0,446508771.955997,446026771.955997,482000.0,0.271142,0.241897,0.029244,1.120895,11830080.0,0.102544
5,Total Single Piece Letters and Cards,First Class,2008,35355569760.0,14854013630.0,8889584390.704206,8880349390.704206,9235000.0,0.420132,0.251434,0.168698,1.670946,1012159055.0,0.458048
8,Presort Letters,First Class,2008,48379873634.0,16327804358.0,5441668078.262041,5429030078.262042,12638000.0,0.337492,0.112478,0.225014,3.000515,2174874013.0,0.719266
9,Presort Cards,First Class,2008,3555997304.0,732236796.0,282270461.835044,281341461.835044,929000.0,0.205916,0.079379,0.126537,2.594096,28969254.0,0.130345
10,Total Presort Letters and Cards,First Class,2008,51935870938.0,17060041153.999998,5723938540.097085,5710371540.097085,13567000.0,0.328483,0.110212,0.218271,2.980472,2203843267.0,0.678943
14,Flats,First Class,2008,3379740269.0,4056250422.0,2570962041.67605,2570080041.67605,882000.0,1.200166,0.760698,0.439468,1.577717,693504018.0,3.283112
19,Parcels,First Class,2008,605521764.0,1120766482.0,1079748613.857262,1079591613.857262,157000.0,1.85091,1.783171,0.06774,1.037988,195046732.0,5.153816
101,Outbound Single Piece Mail International,First Class,2008,420032766.0,746930918.0,525097236.568945,525097236.568945,,1.778268,1.250134,0.528134,1.422462,60543293.0,2.306231
102,Inbound Single Piece Mail International,First Class,2008,417029218.721219,205335855.58738,257895584.610148,257895584.610148,,0.492378,0.618411,-0.126034,0.796198,,
262,Total First Class (incl International),Summary Other,2008,92113764715.72122,38228871246.58738,19047226407.5137,19023385407.513695,23841000.0,0.415018,0.206779,0.208239,2.007057,4165096365.0,0.72347
21,High Density and Saturation Letters,Marketing Mail,2008,5598912951.0,734197098.0,320494603.085937,319868603.085937,626000.0,0.131132,0.057242,0.07389,2.290825,250004215.0,0.714436
22,High Density and Saturation Flats and Parcels,Marketing Mail,2008,13584058849.0,2158255309.0,844353277.22909,842833277.22909,1520000.0,0.158881,0.062158,0.096724,2.556105,2533241995.0,2.983782
23,Carrier Route,Marketing Mail,2008,12070176063.0,2731128255.0,1814258736.327719,1812907736.327719,1351000.0,0.226271,0.150309,0.075962,1.505369,2500770282.0,3.314974
25,Letters,Marketing Mail,2008,57086421302.0,10555141764.0,5478479695.795916,5472091695.795916,6388000.0,0.184898,0.095968,0.088929,1.926655,2859998608.0,0.801591
26,Flats,Marketing Mail,2008,10010856960.0,3663747837.0,3890987812.836086,3889867812.836086,1120000.0,0.365977,0.388677,-0.022699,0.941598,2541283885.0,4.061645
27,Parcels,Marketing Mail,2008,733728820.0,647383010.0,813383003.754726,813301003.754726,82000.0,0.882319,1.108561,-0.226242,0.795914,331886296.0,7.237252
263,Total Marketing Mail (incl International),Summary Other,2008,99084154945.0,20586292254.0,13161957129.029472,13150870129.029472,11087000.0,0.207766,0.132836,0.07493,1.564075,11017185281.0,1.779043
31,In County,Periodicals,2008,830887260.0,89118523.0,94337653.672373,94335653.672373,2000.0,0.107257,0.113538,-0.006281,0.944676,279193069.0,5.376288
32,Outside County,Periodicals,2008,7774339432.0,2187870965.0,2637811389.650062,2637792389.650062,19000.0,0.281422,0.339297,-0.057875,0.829427,3397716043.0,6.992679
264,Total Periodicals (incl International),Summary Other,2008,8605226692.0,2294856567.0,2732149043.322435,2732128043.322435,21000.0,0.266682,0.317499,-0.050817,0.839946,3676909112.0,6.836606
41,Single Piece Parcel Post,Package Services,2008,89536328.0,718091109.0,783974014.129878,783974014.129878,,8.020109,8.755932,-0.735823,0.915963,470859327.0,84.141816
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2008,604155.0,9028411.085461,5691398.132592,5691398.132592,,14.943866,9.420427,5.523438,1.586326,,
42,Bound Printed Matter Flats,Package Services,2008,289623046.0,261936556.0,157550945.931823,157550945.931823,,0.904405,0.543986,0.360419,1.662551,402869329.0,22.256203
43,Bound Printed Matter Parcels,Package Services,2008,308560581.0,429930085.0,399162564.268465,399162564.268465,,1.393341,1.293628,0.099713,1.07708,926808478.0,48.058425
44,Media and Library Mail,Package Services,2008,158504963.0,418873438.0,478752111.187155,478752111.187155,,2.642652,3.020423,-0.377772,0.874928,354742730.0,35.80887
265,Total Package Services (incl International),Summary Other,2008,846829073.0,1842088228.085461,1825131033.649914,1825131033.649914,,2.166161,2.150066,0.016095,1.007486,2155279864.0,40.75096
85,US Postal Service Mail,Other,2008,823684668.0,,,,,,,,,148948377.0,2.893309
86,Free Mail,Other,2008,71975380.0,,51973389.621268,51973389.621268,,,0.7221,,,33306812.0,7.404046
51,Certified Mail,Special Services,2008,268917102.0,717822287.0,602571702.091557,602510702.091557,61000.0,2.669307,2.240734,0.428573,1.191265,,
52,COD,Special Services,2008,1155026.0,8135548.0,6834863.164882,6834863.164882,,7.043606,5.917497,1.126109,1.190302,,
54,Insurance,Special Services,2008,51595220.0,144581632.0,143855100.004834,143843100.004834,12000.0,2.802229,2.788148,0.014081,1.00505,,
55,Registered Mail,Special Services,2008,3861192.0,56883488.0,57739828.52138,57738828.52138,1000.0,14.732106,14.953887,-0.221781,0.985169,,
56,Stamped Envelopes,Special Services,2008,0.0,23420650.0,10044811.055881,10044811.055881,,,,,,,
57,Stamped Cards,Special Services,2008,0.0,987490.0,1364452.889252,1364452.889252,,,,,,,
58,Other Domestic Ancillary Services,Special Services,2008,1208209829.0,734471754.0,533667462.169198,533391462.169198,276000.0,,,,,,
108,Total Domestic Ancillary Services,Special Services,2008,1533738369.0,1686302849.0,1356078219.896984,1355728219.896984,350000.0,,,,,,
109,Total International Ancillary Services,Special Services,2008,16466812.0,29054419.0,62727673.269849,62727673.269849,,,,,,,
73,Money Orders,Special Services,2008,149124623.0,223336366.0,152774604.847078,149946366.847078,2828238.0,1.497649,1.024476,0.473173,1.461868,,
74,Post Office Box Service,Special Services,2008,0.0,896656469.0,640282991.250768,639963482.910768,319508.34,,,,,,
76,Other Special Services,Special Services,2008,139000.0,191000.0,5147122.243775,5147122.243775,,,,,1.403379,,
266,Total Special Services (incl International),Summary Other,2008,1699468804.0,2835541103.0,2217010611.508454,2213512865.168455,3497746.34,,,,,,
3,Single Piece Letters,First Class,2009,30016464675.0,13298977063.999998,7902016361.397862,7891702361.397862,10314000.0,0.443056,0.263256,0.1798,1.682985,912863851.0,0.486594
4,Single Piece Cards,First Class,2009,1616755072.0,454533625.0,440002936.630132,439447936.630132,555000.0,0.281139,0.272152,0.008988,1.033024,10348311.0,0.102411
5,Total Single Piece Letters and Cards,First Class,2009,31633219747.0,13753510688.999998,8342019298.027993,8331150298.027995,10869000.0,0.434781,0.263711,0.17107,1.648703,923212162.0,0.466958
8,Presort Letters,First Class,2009,44807701007.0,15615862781.0,5366240834.179312,5350741834.179312,15499000.0,0.348508,0.119762,0.228747,2.910019,1874580676.0,0.669378
9,Presort Cards,First Class,2009,3126015817.0,666223915.0,240955687.885296,239881687.885296,1074000.0,0.213122,0.077081,0.136042,2.764923,25335121.0,0.129674
10,Total Presort Letters and Cards,First Class,2009,47933716824.0,16282086696.0,5607196522.064608,5590623522.064608,16573000.0,0.339679,0.116978,0.222701,2.903784,1912252797.0,0.63431
14,Flats,First Class,2009,2864495701.0,3539891995.0,2157509720.080505,2156524720.080505,985000.0,1.235782,0.75319,0.482592,1.64073,597233491.0,3.335923
19,Parcels,First Class,2009,580825695.0,1113757996.0,1095175201.151764,1094470201.151764,705000.0,1.917543,1.885549,0.031994,1.016968,189711124.0,5.225971
127,First Class NSAs Domestic,First Class,2009,301476000.0,99036419.0,38285000.0,35364934.0,2920066.0,0.328505,0.126992,0.201513,2.58682,12337000.0,0.654752
101,Outbound Single Piece Mail International,First Class,2009,456448687.04,756357197.0,468134101.026271,468134101.026271,,1.657048,1.025601,0.631447,1.615685,55791415.088184,1.955669
102,Inbound Single Piece Mail International,First Class,2009,439954996.8426,161353642.0,266623958.684389,266623958.684389,,0.36675,0.606026,-0.239275,0.605173,95104600.62371,3.458703
262,Total First Class (incl International),Summary Other,2009,84210137650.8826,35872755896.99999,17974943801.03553,17942891735.035534,32052066.0,0.425991,0.213453,0.212537,1.995709,3690537989.088184,0.701205
21,High Density and Saturation Letters,Marketing Mail,2009,5085391051.0,681945699.0,318151851.489882,317781851.489882,370000.0,0.134099,0.062562,0.071537,2.14346,228547848.0,0.719073
22,High Density and Saturation Flats and Parcels,Marketing Mail,2009,12356827956.0,1971816460.0,825641954.365697,824742954.365697,899000.0,0.159573,0.066817,0.092756,2.388222,2174818618.0,2.816022
23,Carrier Route,Marketing Mail,2009,9856741062.0,2271909004.0,1578322880.202917,1577601669.202917,721211.0,0.230526,0.160127,0.070399,1.439646,1993434905.0,3.23953
25,Letters,Marketing Mail,2009,46223874831.0,8709489809.0,5032818676.898335,5029407676.898335,3411000.0,0.188491,0.108857,0.079634,1.731544,2585932247.0,0.889928
26,Flats,Marketing Mail,2009,7793510893.0,2865985839.0,3488253581.852444,3487684581.852444,569000.0,0.367627,0.447517,-0.07989,0.821481,1963766023.0,4.030437
27,Parcels,Marketing Mail,2009,679041478.0,631897530.0,840000686.847753,839902686.847753,98000.0,0.930573,1.237039,-0.306466,0.752258,305919650.0,7.20827
139,Marketing Mail NSA Domestic,Marketing Mail,2009,710174415.0,142262201.0,88774000.0,85194066.0,3579934.0,0.20032,0.125003,0.075317,1.602521,37023000.0,0.834116
135,Marketing Mail NSA International,Marketing Mail,2009,649000.0,,,,,,,,,160000.0,3.94453
263,Total Marketing Mail (incl International),Summary Other,2009,82706210686.00002,17363725193.0,12171963631.657024,12162315486.657028,9648145.0,0.209946,0.147129,0.062817,1.426954,9289602291.0,1.797111
31,In County,Periodicals,2009,859268411.0,90615809.0,105052170.556256,105052170.556256,,0.105457,0.122258,-0.016801,0.862579,267225951.0,4.975879
32,Outside County,Periodicals,2009,7094446626.0,1932085008.0,2574931010.774408,2574931010.774408,,0.272338,0.36295,-0.090613,0.750344,2765136010.0,6.23617
264,Total Periodicals (incl International),Summary Other,2009,7953715037.0,2038144039.0,2679983181.330664,2679983181.330664,,0.256251,0.336947,-0.080697,0.760506,3032361961.0,6.100016
41,Single Piece Parcel Post,Package Services,2009,80716175.0,699269373.0,761308420.995882,761308420.995882,,8.663312,9.431919,-0.768607,0.91851,444397192.0,88.090833
