product_id,product,mail_class,fy,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,volume,weight,weight_pc
3,Single Piece Letters,First Class,2008,14353.524033,8443.075618748211,8434.32261874821,8.753,0.4283392480234627,0.2519590766159719,0.1763801714074908,1.7000349968591284,33509710.117,1000328.975,0.47763061942694274
4,Single Piece Cards,First Class,2008,500.489597,446.5087719559969,446.02677195599694,0.482,0.27114174086745557,0.2418974669332412,0.02924427393421436,1.12089532935161,1845859.643,11830.08,0.10254370136852274
5,Total Single Piece Letters and Cards,First Class,2008,14854.01363,8889.584390704207,8880.349390704207,9.235,0.42013220917755617,0.25143377552810814,0.16869843364944803,1.6709457919689432,35355569.76,1012159.0549999999,0.4580479112607009
8,Presort Letters,First Class,2008,16327.804358,5441.6680782620415,5429.030078262042,12.638,0.3374916702247292,0.11247793079057965,0.22501373943414954,3.000514570748088,48379873.634,2174874.013,0.7192657110113855
9,Presort Cards,First Class,2008,732.236796,282.27046183504393,281.3414618350439,0.929,0.20591601550888014,0.07937870524185411,0.12653731026702603,2.594096425250163,3555997.304,28969.254,0.13034544865335476
10,Total Presort Letters and Cards,First Class,2008,17060.041154,5723.938540097085,5710.371540097085,13.567,0.32848281632488524,0.11021165981658819,0.21827115650829704,2.980472455197019,51935870.938,2203843.267,0.6789429277905912
14,Flats,First Class,2008,4056.250422,2570.96204167605,2570.08004167605,0.882,1.2001663143186343,0.7606981119992241,0.4394682023194102,1.5777169620737252,3379740.2690000003,693504.018,3.283111542557414
19,Parcels,First Class,2008,1120.7664819999998,1079.7486138572617,1079.5916138572616,0.157,1.850910320045903,1.7831706109530714,0.06773970909283156,1.0379883498958218,605521.7640000001,195046.73200000002,5.153815927911056
101,Outbound Single Piece Mail International,First Class,2008,746.930918,525.097236568945,525.097236568945,0,1.7782682172942672,1.2501339873302766,0.5281342299639906,1.422462100316021,420032.766,60543.29299999999,2.306231242921653
102,Inbound Single Piece Mail International,First Class,2008,205.33585558738025,257.8955846101484,257.8955846101484,0,0.49237762336419383,0.6184113079677275,-0.12603368460353365,0.7961976390475207,417029.2187212187,,
80,Total First Class (Domestic),Summary,2008,38228.871246587376,19047.2264075137,19023.385407513695,23.841,0.41501800913867964,0.20677937185931644,0.2082386372793632,2.007057113129445,92113764.71572122,4165096.3649999998,0.7234699617985124
21,High Density and Saturation Letters,Marketing Mail,2008,734.197098,320.494603085937,319.868603085937,0.626,0.1311320794635444,0.05724229076086898,0.07388978870267543,2.290825152531924,5598912.951,250004.215,0.7144364406104159
22,High Density and Saturation Flats and Parcels,Marketing Mail,2008,2158.2553089999997,844.35327722909,842.83327722909,1.52,0.1588814751902287,0.06215765748771383,0.09672381770251486,2.5561046154551983,13584058.849,2533241.995,2.983782120686542
23,Carrier Route,Marketing Mail,2008,2731.128255,1814.2587363277187,1812.9077363277188,1.351,0.2262707884909831,0.1503092189259078,0.0759615695650753,1.5053686667250874,12070176.063,2500770.282,3.3149743883731784
25,Letters,Marketing Mail,2008,10555.141764,5478.479695795915,5472.091695795915,6.388,0.1848975907626251,0.09596817545828501,0.08892941530434009,1.9266552675370545,57086421.302,2859998.608,0.801591283606997
26,Flats,Marketing Mail,2008,3663.747837,3890.987812836086,3889.8678128360857,1.12,0.3659774434535522,0.38867679644042036,-0.02269935298686815,0.9415983840693518,10010856.96,2541283.885,4.061644504807708
27,Parcels,Marketing Mail,2008,647.38301,813.3830037547259,813.3010037547259,0.082,0.8823191789031812,1.108560794647164,-0.22624161574398283,0.795914110586969,733728.82,331886.296,7.237252498818297
81,Total Marketing Mail (Domestic),Summary,2008,20586.292254,13161.957129029472,13150.870129029472,11.087,0.207765734747671,0.13283614455142156,0.07492959019624942,1.5640753158658847,99084154.945,11017185.281,1.7790429215836514
31,In County,Periodicals,2008,89.118523,94.33765367237307,94.33565367237307,0.002,0.107257057955131,0.11353845246390355,-0.006281394508772548,0.9446760602028679,830887.26,279193.069,5.3762878780931125
32,Outside County,Periodicals,2008,2187.870965,2637.8113896500618,2637.7923896500615,0.019,0.2814221046220972,0.3392971727980582,-0.057875068175961,0.8294266123743775,7774339.432,3397716.043,6.992678563047336
82,Total Periodicals (Domestic),Summary,2008,2294.856567,2732.149043322435,2732.1280433224347,0.021,0.2666817097489661,0.3174987877846873,-0.05081707803572122,0.8399455998232568,8605226.692,3676909.112,6.836606157824157
41,Single Piece Parcel Post,Package Services,2008,718.0911090000001,783.9740141298785,783.9740141298785,0,8.020108988610748,8.75593216342174,-0.7358231748109922,0.9159628968021334,89536.328,470859.327,84.14181595653555
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2008,9.028411085460524,5.691398132592494,5.691398132592494,0,14.943865540234748,9.42042709667634,5.523438443558408,1.5863256927604859,604.155,,
42,Bound Printed Matter Flats,Package Services,2008,261.936556,157.550945931823,157.550945931823,0,0.9044050866035018,0.54398621970098,0.3604188669025218,1.6625514651835076,289623.046,402869.329,22.256202857558513
43,Bound Printed Matter Parcels,Package Services,2008,429.930085,399.16256426846473,399.16256426846473,0,1.393340923868691,1.2936278606127747,0.09971306325591622,1.0770801760629085,308560.581,926808.478,48.058425350190795
44,Media and Library Mail,Package Services,2008,418.873438,478.7521111871549,478.7521111871549,0,2.6426518770898046,3.0204234752394155,-0.3777715981496108,0.8749276049380239,158504.963,354742.73,35.80887041372957
83,Total Package Services (Domestic),Summary,2008,1842.0882280854607,1825.1310336499134,1825.1310336499134,0,2.1661614755239342,2.150066249310471,0.016095226213463043,1.0074859210587697,846829.073,2155279.864,40.75096004677093
85,US Postal Service Mail,Other,2008,,,,,,,,,823684.668,148948.377,2.8933087194479628
86,Free Mail,Other,2008,0,51.97338962126797,51.97338962126797,0,0,0.7220995515587131,,,71975.38,33306.812,7.40404555002002
